"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18006","Login for the product ZARA COAT 3","","Tue May 13 18:00:32 EDT 2025","failed","Tue May 13 18:00:50 EDT 2025","","ClientAppPOM.spec.js","",""
"","4909","Calendar validations","","Tue May 13 18:00:06 EDT 2025","passed","Tue May 13 18:00:11 EDT 2025","","Calendar.spec.js","",""
"","6600","@Web speciallocator test case","","Tue May 13 18:22:35 EDT 2025","passed","Tue May 13 18:22:42 EDT 2025","","specialLocator.spec.js","",""
"","122035","my first test case","","Tue May 13 18:00:41 EDT 2025","passed","Tue May 13 18:02:43 EDT 2025","","UIBasics.spec.js","",""
"","0","Login for the product IPHONE 13 PRO","","Tue May 13 18:00:53 EDT 2025","skipped","Tue May 13 18:00:53 EDT 2025","","ClientAppPOM.spec.js","",""
"","22030","my second test case","","Tue May 13 18:00:06 EDT 2025","passed","Tue May 13 18:00:28 EDT 2025","","ClientApp.spec.js","",""
"","9131","@web downloadandupload","","Tue May 13 18:22:37 EDT 2025","passed","Tue May 13 18:22:46 EDT 2025","","downloadupload.spec.js","",""
"","7844","Visual Comparison Fail","","Tue May 13 18:00:48 EDT 2025","failed","Tue May 13 18:00:55 EDT 2025","","Popupsand visual comparison.spec.js","",""
"","2186","Placing order","","Tue May 13 18:00:06 EDT 2025","failed","Tue May 13 18:00:08 EDT 2025","","APIcall.spec.js","",""
"","8400","@Web my second case","","Tue May 13 18:22:44 EDT 2025","passed","Tue May 13 18:22:52 EDT 2025","","UIcomponents.spec.js","",""
"","43348","test","","Tue May 13 18:00:29 EDT 2025","broken","Tue May 13 18:01:12 EDT 2025","","recordscripy.spec.js","",""
"","6093","screenshots","","Tue May 13 18:00:41 EDT 2025","passed","Tue May 13 18:00:48 EDT 2025","","Popupsand visual comparison.spec.js","",""
"","3767","Visual Comparison Pass","","Tue May 13 18:00:59 EDT 2025","failed","Tue May 13 18:01:03 EDT 2025","","Popupsand visual comparison.spec.js","",""
"","15313","popup and frames","","Tue May 13 18:00:26 EDT 2025","passed","Tue May 13 18:00:41 EDT 2025","","Popupsand visual comparison.spec.js","",""
"","8015","@Web my first test case","","Tue May 13 18:22:35 EDT 2025","passed","Tue May 13 18:22:43 EDT 2025","","UIcomponents.spec.js","",""
"","25371","Login for the product ADIDAS ORIGINAL","","Tue May 13 18:00:06 EDT 2025","passed","Tue May 13 18:00:31 EDT 2025","","ClientAppPOM.spec.js","",""
"","22117","my second test case","","Tue May 13 18:00:12 EDT 2025","passed","Tue May 13 18:00:34 EDT 2025","","ClientAppwithspeciallocator.spec.js","",""
